Tru,Turnover,ident
0.15,0.171739268,Sampled Ancestor Model
0.15,0.170319054,Sampled Ancestor Model
0.15,0.166552688,Sampled Ancestor Model
0.15,0.166953318,Sampled Ancestor Model
0.15,0.167592338,Sampled Ancestor Model
0.15,0.171307224,Sampled Ancestor Model
0.15,0.166452903,Sampled Ancestor Model
0.15,0.165529594,Sampled Ancestor Model
0.15,0.170226393,Sampled Ancestor Model
0.15,0.171369523,Sampled Ancestor Model
0.15,0.164302849,Sampled Ancestor Model
0.15,0.171294967,Sampled Ancestor Model
0.15,0.170444612,Sampled Ancestor Model
0.15,0.171121073,Sampled Ancestor Model
0.15,0.169664279,Sampled Ancestor Model
0.15,0.168386299,Sampled Ancestor Model
0.15,0.166493061,Sampled Ancestor Model
0.15,0.172240532,Sampled Ancestor Model
0.15,0.172523906,Sampled Ancestor Model
0.15,0.170388959,Sampled Ancestor Model
0.15,0.172160755,Sampled Ancestor Model
0.15,0.168727661,Sampled Ancestor Model
0.15,0.168993966,Sampled Ancestor Model
0.15,0.170093696,Sampled Ancestor Model
0.15,0.170909482,Sampled Ancestor Model
0.15,0.169175322,Sampled Ancestor Model
0.15,0.168852743,Sampled Ancestor Model
0.15,0.169715051,Sampled Ancestor Model
0.15,0.167060143,Sampled Ancestor Model
0.15,0.269870463,Sampled Ancestor Model
0.15,0.172830426,Sampled Ancestor Model
0.15,0.168059734,Sampled Ancestor Model
0.15,0.16938474,Sampled Ancestor Model
0.15,0.166299245,Sampled Ancestor Model
0.15,0.167387045,Sampled Ancestor Model
0.15,0.171477626,Sampled Ancestor Model
0.15,0.168074219,Sampled Ancestor Model
0.15,0.170314033,Sampled Ancestor Model
0.15,0.168578551,Sampled Ancestor Model
0.15,0.168598126,Sampled Ancestor Model
0.15,0.172635612,Sampled Ancestor Model
0.15,0.169373506,Sampled Ancestor Model
0.15,0.16611827,Sampled Ancestor Model
0.15,0.168098406,Sampled Ancestor Model
0.15,0.168617654,Sampled Ancestor Model
0.15,0.16998121,Sampled Ancestor Model
0.2,0.203996553,Sampled Ancestor Model
0.2,0.203434168,Sampled Ancestor Model
0.2,0.206296622,Sampled Ancestor Model
0.2,0.209278625,Sampled Ancestor Model
0.2,0.204204551,Sampled Ancestor Model
0.2,0.20729803,Sampled Ancestor Model
0.2,0.205481359,Sampled Ancestor Model
0.2,0.20968047,Sampled Ancestor Model
0.2,0.205308236,Sampled Ancestor Model
0.2,0.205141476,Sampled Ancestor Model
0.2,0.205412499,Sampled Ancestor Model
0.2,0.200287561,Sampled Ancestor Model
0.2,0.203924909,Sampled Ancestor Model
0.2,0.199347012,Sampled Ancestor Model
0.2,0.205910328,Sampled Ancestor Model
0.2,0.201157312,Sampled Ancestor Model
0.2,0.203567697,Sampled Ancestor Model
0.2,0.198009117,Sampled Ancestor Model
0.2,0.204176287,Sampled Ancestor Model
0.2,0.202768303,Sampled Ancestor Model
0.2,0.206216878,Sampled Ancestor Model
0.2,0.202185054,Sampled Ancestor Model
0.2,0.200480082,Sampled Ancestor Model
0.2,0.207988779,Sampled Ancestor Model
0.2,0.202185878,Sampled Ancestor Model
0.2,0.203415486,Sampled Ancestor Model
0.2,0.203984299,Sampled Ancestor Model
0.2,0.202073905,Sampled Ancestor Model
0.2,0.255570789,Sampled Ancestor Model
0.2,0.208513831,Sampled Ancestor Model
0.2,0.202303001,Sampled Ancestor Model
0.2,0.20524643,Sampled Ancestor Model
0.2,0.199326945,Sampled Ancestor Model
0.2,0.205729517,Sampled Ancestor Model
0.2,0.207045374,Sampled Ancestor Model
0.2,0.202575285,Sampled Ancestor Model
0.2,0.202663837,Sampled Ancestor Model
0.2,0.206025604,Sampled Ancestor Model
0.2,0.217264169,Sampled Ancestor Model
0.2,0.205229767,Sampled Ancestor Model
0.2,0.202261168,Sampled Ancestor Model
0.2,0.208527854,Sampled Ancestor Model
0.2,0.200844046,Sampled Ancestor Model
0.2,0.204420965,Sampled Ancestor Model
0.2,0.206407519,Sampled Ancestor Model
0.2,0.205323318,Sampled Ancestor Model
0.2,0.20753024,Sampled Ancestor Model
0.2,0.202679452,Sampled Ancestor Model
0.2,0.207095968,Sampled Ancestor Model
0.2,0.204791834,Sampled Ancestor Model
0.25,0.262120467,Sampled Ancestor Model
0.25,0.265931652,Sampled Ancestor Model
0.25,0.269325678,Sampled Ancestor Model
0.25,0.270665106,Sampled Ancestor Model
0.25,0.264451443,Sampled Ancestor Model
0.25,0.270367418,Sampled Ancestor Model
0.25,0.265510175,Sampled Ancestor Model
0.25,0.256847117,Sampled Ancestor Model
0.25,0.272157823,Sampled Ancestor Model
0.25,0.265177582,Sampled Ancestor Model
0.25,0.265788062,Sampled Ancestor Model
0.25,0.267332022,Sampled Ancestor Model
0.25,0.266999368,Sampled Ancestor Model
0.25,0.269743718,Sampled Ancestor Model
0.25,0.26490371,Sampled Ancestor Model
0.25,0.260086292,Sampled Ancestor Model
0.25,0.266246912,Sampled Ancestor Model
0.25,0.266619334,Sampled Ancestor Model
0.25,0.265796248,Sampled Ancestor Model
0.25,0.266782643,Sampled Ancestor Model
0.25,0.267899703,Sampled Ancestor Model
0.25,0.266491071,Sampled Ancestor Model
0.25,0.266540442,Sampled Ancestor Model
0.25,0.264672155,Sampled Ancestor Model
0.25,0.265707583,Sampled Ancestor Model
0.25,0.263768298,Sampled Ancestor Model
0.25,0.257762039,Sampled Ancestor Model
0.25,0.261498427,Sampled Ancestor Model
0.25,0.26300874,Sampled Ancestor Model
0.25,0.267751644,Sampled Ancestor Model
0.25,0.256748704,Sampled Ancestor Model
0.25,0.264343721,Sampled Ancestor Model
0.25,0.265098176,Sampled Ancestor Model
0.25,0.267813871,Sampled Ancestor Model
0.25,0.265685699,Sampled Ancestor Model
0.25,0.268490063,Sampled Ancestor Model
0.25,0.268198977,Sampled Ancestor Model
0.25,0.26175541,Sampled Ancestor Model
0.25,0.263999503,Sampled Ancestor Model
0.25,0.269843582,Sampled Ancestor Model
0.25,0.258946902,Sampled Ancestor Model
0.25,0.263182779,Sampled Ancestor Model
0.25,0.26476001,Sampled Ancestor Model
0.25,0.263436137,Sampled Ancestor Model
0.25,0.266430981,Sampled Ancestor Model
0.25,0.267098709,Sampled Ancestor Model
0.25,0.261641289,Sampled Ancestor Model
0.25,0.262480082,Sampled Ancestor Model
