,Ind,Tru,No Sampled Ancestors Turnover,ident
0,0,9.85,11.9822990729,Non Sampled Ancestor Model
1,0,9.85,11.8187087255,Non Sampled Ancestor Model
2,0,9.85,11.5764513893,Non Sampled Ancestor Model
3,0,9.85,12.1948560799,Non Sampled Ancestor Model
4,0,9.85,42.8291260153,Non Sampled Ancestor Model
5,0,9.85,12.9859403318,Non Sampled Ancestor Model
6,0,9.85,11.3662366146,Non Sampled Ancestor Model
7,0,9.85,17.104314619,Non Sampled Ancestor Model
8,0,9.85,10.7889320399,Non Sampled Ancestor Model
9,0,9.85,11.83105459,Non Sampled Ancestor Model
10,0,9.85,11.5729574035,Non Sampled Ancestor Model
11,0,9.85,15.4929145052,Non Sampled Ancestor Model
12,0,9.85,11.0680030105,Non Sampled Ancestor Model
13,0,9.85,16.5220290118,Non Sampled Ancestor Model
14,0,9.85,12.9033471432,Non Sampled Ancestor Model
15,0,9.85,10.2140560374,Non Sampled Ancestor Model
16,0,9.85,49.5635842463,Non Sampled Ancestor Model
17,0,9.85,13.2941612248,Non Sampled Ancestor Model
18,0,9.85,15.7068335822,Non Sampled Ancestor Model
19,0,9.85,12.0171726134,Non Sampled Ancestor Model
20,0,9.85,11.427419133,Non Sampled Ancestor Model
21,0,9.85,9.91512231483,Non Sampled Ancestor Model
22,0,9.85,10.8286585291,Non Sampled Ancestor Model
23,0,9.85,10.7135864236,Non Sampled Ancestor Model
24,0,9.85,13.9211049412,Non Sampled Ancestor Model
25,0,9.85,10.1134489468,Non Sampled Ancestor Model
26,0,9.85,19.4831327543,Non Sampled Ancestor Model
27,0,9.85,16.3122288557,Non Sampled Ancestor Model
28,0,9.85,10.8064754598,Non Sampled Ancestor Model
29,0,9.85,12.2994355465,Non Sampled Ancestor Model
30,0,9.85,10.7796201524,Non Sampled Ancestor Model
31,0,9.85,44.8538332767,Non Sampled Ancestor Model
32,0,9.85,12.8892933061,Non Sampled Ancestor Model
33,0,9.85,49.5316533954,Non Sampled Ancestor Model
34,0,9.85,11.6984898504,Non Sampled Ancestor Model
35,0,9.85,14.9062150803,Non Sampled Ancestor Model
36,0,9.85,17.1811262956,Non Sampled Ancestor Model
37,0,9.85,12.0513166908,Non Sampled Ancestor Model
38,0,9.85,19.0411436847,Non Sampled Ancestor Model
39,0,9.85,51.7418394941,Non Sampled Ancestor Model
40,0,9.85,13.0628984164,Non Sampled Ancestor Model
41,0,9.85,16.3643482181,Non Sampled Ancestor Model
42,0,9.85,47.678161337,Non Sampled Ancestor Model
43,0,9.85,10.4066010953,Non Sampled Ancestor Model
44,0,9.85,11.8378479339,Non Sampled Ancestor Model
45,0,9.85,44.0561466106,Non Sampled Ancestor Model
46,0,9.85,17.2187081739,Non Sampled Ancestor Model
47,0,9.85,42.4397008468,Non Sampled Ancestor Model
0,0,6.55,15.9542705632,Non Sampled Ancestor Model
1,0,6.55,25.4390651464,Non Sampled Ancestor Model
2,0,6.55,11.6081669785,Non Sampled Ancestor Model
3,0,6.55,22.9700177558,Non Sampled Ancestor Model
4,0,6.55,31.3292839505,Non Sampled Ancestor Model
5,0,6.55,20.0580573072,Non Sampled Ancestor Model
6,0,6.55,15.1788323041,Non Sampled Ancestor Model
7,0,6.55,9.9332742966,Non Sampled Ancestor Model
8,0,6.55,19.748047358,Non Sampled Ancestor Model
9,0,6.55,13.2019601993,Non Sampled Ancestor Model
10,0,6.55,20.3079631168,Non Sampled Ancestor Model
11,0,6.55,25.8073266354,Non Sampled Ancestor Model
12,0,6.55,34.7723594607,Non Sampled Ancestor Model
13,0,6.55,16.5047297914,Non Sampled Ancestor Model
14,0,6.55,21.2179861316,Non Sampled Ancestor Model
15,0,6.55,25.5046328406,Non Sampled Ancestor Model
16,0,6.55,14.0572291559,Non Sampled Ancestor Model
17,0,6.55,26.5273632246,Non Sampled Ancestor Model
18,0,6.55,12.5485040601,Non Sampled Ancestor Model
19,0,6.55,18.4996862114,Non Sampled Ancestor Model
20,0,6.55,12.7969423131,Non Sampled Ancestor Model
21,0,6.55,38.6582778357,Non Sampled Ancestor Model
22,0,6.55,17.346824366,Non Sampled Ancestor Model
23,0,6.55,25.157837091,Non Sampled Ancestor Model
24,0,6.55,36.4488583754,Non Sampled Ancestor Model
25,0,6.55,20.8840936263,Non Sampled Ancestor Model
26,0,6.55,18.6614437963,Non Sampled Ancestor Model
27,0,6.55,26.3718251215,Non Sampled Ancestor Model
28,0,6.55,17.8661222809,Non Sampled Ancestor Model
29,0,6.55,14.821834437,Non Sampled Ancestor Model
30,0,6.55,34.8227738103,Non Sampled Ancestor Model
31,0,6.55,35.1701862496,Non Sampled Ancestor Model
32,0,6.55,18.5405802325,Non Sampled Ancestor Model
33,0,6.55,25.9573880625,Non Sampled Ancestor Model
34,0,6.55,17.8808622092,Non Sampled Ancestor Model
35,0,6.55,22.2153345462,Non Sampled Ancestor Model
36,0,6.55,27.6152293564,Non Sampled Ancestor Model
37,0,6.55,18.1410744516,Non Sampled Ancestor Model
38,0,6.55,18.114125245,Non Sampled Ancestor Model
39,0,6.55,16.2156961767,Non Sampled Ancestor Model
40,0,6.55,26.8317418497,Non Sampled Ancestor Model
41,0,6.55,16.8136959217,Non Sampled Ancestor Model
42,0,6.55,23.8322945276,Non Sampled Ancestor Model
43,0,6.55,18.3869637899,Non Sampled Ancestor Model
44,0,6.55,14.9313835214,Non Sampled Ancestor Model
45,0,6.55,18.1870657929,Non Sampled Ancestor Model
46,0,6.55,26.5044310302,Non Sampled Ancestor Model
0,0,13.21,14.1610516893,Non Sampled Ancestor Model
1,0,13.21,14.2178473844,Non Sampled Ancestor Model
2,0,13.21,14.7941998352,Non Sampled Ancestor Model
3,0,13.21,13.6243243657,Non Sampled Ancestor Model
4,0,13.21,15.4795753047,Non Sampled Ancestor Model
5,0,13.21,15.2501866709,Non Sampled Ancestor Model
6,0,13.21,17.7409764525,Non Sampled Ancestor Model
7,0,13.21,14.3410476585,Non Sampled Ancestor Model
8,0,13.21,17.8392033852,Non Sampled Ancestor Model
9,0,13.21,14.2263655438,Non Sampled Ancestor Model
10,0,13.21,13.719378542,Non Sampled Ancestor Model
11,0,13.21,13.1123477169,Non Sampled Ancestor Model
12,0,13.21,14.2834791119,Non Sampled Ancestor Model
13,0,13.21,15.5400484198,Non Sampled Ancestor Model
14,0,13.21,13.8359640426,Non Sampled Ancestor Model
15,0,13.21,13.88354606,Non Sampled Ancestor Model
16,0,13.21,15.1393667079,Non Sampled Ancestor Model
17,0,13.21,17.8603396505,Non Sampled Ancestor Model
18,0,13.21,14.0731273691,Non Sampled Ancestor Model
19,0,13.21,13.9998270658,Non Sampled Ancestor Model
20,0,13.21,15.5485675844,Non Sampled Ancestor Model
21,0,13.21,16.1034536059,Non Sampled Ancestor Model
22,0,13.21,14.1360579304,Non Sampled Ancestor Model
23,0,13.21,13.9159643313,Non Sampled Ancestor Model
24,0,13.21,13.9414384371,Non Sampled Ancestor Model
25,0,13.21,13.8083081458,Non Sampled Ancestor Model
26,0,13.21,16.014385577,Non Sampled Ancestor Model
27,0,13.21,13.6596420496,Non Sampled Ancestor Model
28,0,13.21,16.0306199693,Non Sampled Ancestor Model
29,0,13.21,13.51228231,Non Sampled Ancestor Model
30,0,13.21,15.4621036854,Non Sampled Ancestor Model
31,0,13.21,13.7713002282,Non Sampled Ancestor Model
32,0,13.21,16.4737542076,Non Sampled Ancestor Model
33,0,13.21,14.0567527918,Non Sampled Ancestor Model
34,0,13.21,14.0552674317,Non Sampled Ancestor Model
35,0,13.21,17.0992179478,Non Sampled Ancestor Model
36,0,13.21,14.4688067553,Non Sampled Ancestor Model
37,0,13.21,14.7522345399,Non Sampled Ancestor Model
38,0,13.21,14.1717534188,Non Sampled Ancestor Model
39,0,13.21,15.6460861381,Non Sampled Ancestor Model
40,0,13.21,14.7143432989,Non Sampled Ancestor Model
41,0,13.21,13.2811866462,Non Sampled Ancestor Model
42,0,13.21,15.0286089024,Non Sampled Ancestor Model
43,0,13.21,17.2645566003,Non Sampled Ancestor Model
44,0,13.21,15.3019801077,Non Sampled Ancestor Model
45,0,13.21,13.1149710146,Non Sampled Ancestor Model
0,0,4.28,6.42148604166,Non Sampled Ancestor Model
1,0,4.28,5.52058435071,Non Sampled Ancestor Model
2,0,4.28,6.36352357856,Non Sampled Ancestor Model
3,0,4.28,6.92006888607,Non Sampled Ancestor Model
4,0,4.28,7.07803940048,Non Sampled Ancestor Model
5,0,4.28,6.64250580842,Non Sampled Ancestor Model
6,0,4.28,5.45391306239,Non Sampled Ancestor Model
7,0,4.28,6.44748569587,Non Sampled Ancestor Model
8,0,4.28,6.56014778711,Non Sampled Ancestor Model
