,Ind,Tru,No Sampled Ancestors Turnover,ident
0,0,4.74,4.94823419675,Non Sampled Ancestor Model
1,0,4.74,5.55038928744,Non Sampled Ancestor Model
2,0,4.74,5.13511396141,Non Sampled Ancestor Model
3,0,4.74,4.87339084036,Non Sampled Ancestor Model
4,0,4.74,4.96980607695,Non Sampled Ancestor Model
5,0,4.74,5.01609582678,Non Sampled Ancestor Model
6,0,4.74,5.03612725896,Non Sampled Ancestor Model
7,0,4.74,9.01481898193,Non Sampled Ancestor Model
8,0,4.74,5.18903686088,Non Sampled Ancestor Model
9,0,4.74,5.00065120895,Non Sampled Ancestor Model
10,0,4.74,4.88851009764,Non Sampled Ancestor Model
11,0,4.74,4.93984131614,Non Sampled Ancestor Model
12,0,4.74,8.29289387552,Non Sampled Ancestor Model
13,0,4.74,4.91659265317,Non Sampled Ancestor Model
14,0,4.74,4.84152996956,Non Sampled Ancestor Model
15,0,4.74,4.90090149816,Non Sampled Ancestor Model
16,0,4.74,4.81191454124,Non Sampled Ancestor Model
17,0,4.74,5.003595649,Non Sampled Ancestor Model
18,0,4.74,4.94573856652,Non Sampled Ancestor Model
19,0,4.74,5.02528715508,Non Sampled Ancestor Model
20,0,4.74,5.03011906951,Non Sampled Ancestor Model
21,0,4.74,5.10517827906,Non Sampled Ancestor Model
22,0,4.74,4.95040016009,Non Sampled Ancestor Model
23,0,4.74,5.03548992554,Non Sampled Ancestor Model
24,0,4.74,4.85123239745,Non Sampled Ancestor Model
25,0,4.74,4.90087131788,Non Sampled Ancestor Model
26,0,4.74,4.9699595149,Non Sampled Ancestor Model
27,0,4.74,4.97795858667,Non Sampled Ancestor Model
28,0,4.74,5.1537635572,Non Sampled Ancestor Model
29,0,4.74,4.90210437796,Non Sampled Ancestor Model
30,0,4.74,4.93560266784,Non Sampled Ancestor Model
31,0,4.74,4.86099173477,Non Sampled Ancestor Model
32,0,4.74,4.93744876324,Non Sampled Ancestor Model
33,0,4.74,5.06532322613,Non Sampled Ancestor Model
34,0,4.74,5.98595284122,Non Sampled Ancestor Model
35,0,4.74,5.04445254104,Non Sampled Ancestor Model
36,0,4.74,4.86047162598,Non Sampled Ancestor Model
37,0,4.74,4.84659095315,Non Sampled Ancestor Model
38,0,4.74,4.85816146904,Non Sampled Ancestor Model
39,0,4.74,5.21737720259,Non Sampled Ancestor Model
40,0,4.74,4.89854515141,Non Sampled Ancestor Model
41,0,4.74,4.89202557546,Non Sampled Ancestor Model
42,0,4.74,4.97595935203,Non Sampled Ancestor Model
43,0,4.74,7.16422550581,Non Sampled Ancestor Model
44,0,4.74,5.03936213576,Non Sampled Ancestor Model
45,0,4.74,4.89481934501,Non Sampled Ancestor Model
46,0,4.74,5.00597931703,Non Sampled Ancestor Model
47,0,4.74,4.85642162025,Non Sampled Ancestor Model
48,0,4.74,5.03229132818,Non Sampled Ancestor Model
49,0,4.74,4.99818194334,Non Sampled Ancestor Model
0,0,23.13,23.5051837264,Non Sampled Ancestor Model
1,0,23.13,22.9456409445,Non Sampled Ancestor Model
2,0,23.13,22.8501644408,Non Sampled Ancestor Model
3,0,23.13,23.1256037333,Non Sampled Ancestor Model
4,0,23.13,24.0917340349,Non Sampled Ancestor Model
5,0,23.13,23.0815688689,Non Sampled Ancestor Model
6,0,23.13,24.9635005353,Non Sampled Ancestor Model
7,0,23.13,22.5891425652,Non Sampled Ancestor Model
8,0,23.13,24.3013459855,Non Sampled Ancestor Model
9,0,23.13,22.8224125906,Non Sampled Ancestor Model
10,0,23.13,23.745402081,Non Sampled Ancestor Model
11,0,23.13,22.578843964,Non Sampled Ancestor Model
12,0,23.13,22.5015993745,Non Sampled Ancestor Model
13,0,23.13,22.7853741036,Non Sampled Ancestor Model
14,0,23.13,24.3808872351,Non Sampled Ancestor Model
15,0,23.13,22.8486547153,Non Sampled Ancestor Model
16,0,23.13,22.5056021228,Non Sampled Ancestor Model
17,0,23.13,22.9159066054,Non Sampled Ancestor Model
18,0,23.13,23.623706047,Non Sampled Ancestor Model
19,0,23.13,24.5881669031,Non Sampled Ancestor Model
20,0,23.13,24.3892871664,Non Sampled Ancestor Model
21,0,23.13,24.4463249115,Non Sampled Ancestor Model
22,0,23.13,23.0842079665,Non Sampled Ancestor Model
23,0,23.13,23.1013663358,Non Sampled Ancestor Model
24,0,23.13,22.8942838306,Non Sampled Ancestor Model
25,0,23.13,23.3482910374,Non Sampled Ancestor Model
26,0,23.13,23.2326741956,Non Sampled Ancestor Model
27,0,23.13,23.3020271909,Non Sampled Ancestor Model
28,0,23.13,24.0551460974,Non Sampled Ancestor Model
29,0,23.13,23.7059706519,Non Sampled Ancestor Model
30,0,23.13,23.3187250663,Non Sampled Ancestor Model
31,0,23.13,25.434933773,Non Sampled Ancestor Model
32,0,23.13,23.7972037608,Non Sampled Ancestor Model
33,0,23.13,24.1319477775,Non Sampled Ancestor Model
34,0,23.13,22.688055083,Non Sampled Ancestor Model
35,0,23.13,23.9498953306,Non Sampled Ancestor Model
36,0,23.13,22.6686360711,Non Sampled Ancestor Model
37,0,23.13,23.0491366163,Non Sampled Ancestor Model
38,0,23.13,24.1294123449,Non Sampled Ancestor Model
39,0,23.13,23.2026281933,Non Sampled Ancestor Model
40,0,23.13,23.3921877483,Non Sampled Ancestor Model
41,0,23.13,23.5393044184,Non Sampled Ancestor Model
42,0,23.13,22.9015589678,Non Sampled Ancestor Model
43,0,23.13,22.99206771,Non Sampled Ancestor Model
44,0,23.13,23.2112826622,Non Sampled Ancestor Model
45,0,23.13,23.1347778858,Non Sampled Ancestor Model
46,0,23.13,22.8462593684,Non Sampled Ancestor Model
0,0,3.519,3.93369655385,Non Sampled Ancestor Model
1,0,3.519,4.82151969606,Non Sampled Ancestor Model
2,0,3.519,3.9348007483,Non Sampled Ancestor Model
3,0,3.519,3.95219994366,Non Sampled Ancestor Model
4,0,3.519,3.93819736453,Non Sampled Ancestor Model
5,0,3.519,3.94886808727,Non Sampled Ancestor Model
6,0,3.519,3.73056539029,Non Sampled Ancestor Model
7,0,3.519,3.95524607197,Non Sampled Ancestor Model
8,0,3.519,3.93373172567,Non Sampled Ancestor Model
9,0,3.519,3.93298859366,Non Sampled Ancestor Model
10,0,3.519,3.95324130825,Non Sampled Ancestor Model
11,0,3.519,3.96788980768,Non Sampled Ancestor Model
12,0,3.519,3.95130815827,Non Sampled Ancestor Model
13,0,3.519,3.97015057889,Non Sampled Ancestor Model
14,0,3.519,3.96575167364,Non Sampled Ancestor Model
15,0,3.519,3.97653011503,Non Sampled Ancestor Model
16,0,3.519,3.93290036244,Non Sampled Ancestor Model
17,0,3.519,4.04733760169,Non Sampled Ancestor Model
18,0,3.519,3.94123417567,Non Sampled Ancestor Model
19,0,3.519,3.92444970614,Non Sampled Ancestor Model
20,0,3.519,3.9317195295,Non Sampled Ancestor Model
21,0,3.519,3.96096541053,Non Sampled Ancestor Model
22,0,3.519,3.97834399923,Non Sampled Ancestor Model
23,0,3.519,3.94680372562,Non Sampled Ancestor Model
24,0,3.519,3.93487677127,Non Sampled Ancestor Model
25,0,3.519,3.93872077741,Non Sampled Ancestor Model
26,0,3.519,3.92454341613,Non Sampled Ancestor Model
27,0,3.519,3.95213303547,Non Sampled Ancestor Model
28,0,3.519,3.95217769318,Non Sampled Ancestor Model
29,0,3.519,3.93694387964,Non Sampled Ancestor Model
30,0,3.519,3.96383041055,Non Sampled Ancestor Model
31,0,3.519,3.95700847821,Non Sampled Ancestor Model
32,0,3.519,3.95696536108,Non Sampled Ancestor Model
33,0,3.519,3.97595222095,Non Sampled Ancestor Model
34,0,3.519,3.94986967662,Non Sampled Ancestor Model
35,0,3.519,3.94321078931,Non Sampled Ancestor Model
36,0,3.519,3.94931590946,Non Sampled Ancestor Model
37,0,3.519,3.9257188752,Non Sampled Ancestor Model
38,0,3.519,3.55097341055,Non Sampled Ancestor Model
39,0,3.519,3.97731739732,Non Sampled Ancestor Model
40,0,3.519,4.32100081847,Non Sampled Ancestor Model
41,0,3.519,3.93369655385,Non Sampled Ancestor Model
42,0,3.519,4.82151969606,Non Sampled Ancestor Model
43,0,3.519,3.9348007483,Non Sampled Ancestor Model
44,0,3.519,3.95219994366,Non Sampled Ancestor Model
45,0,3.519,3.93819736453,Non Sampled Ancestor Model
46,0,3.519,3.94886808727,Non Sampled Ancestor Model
47,0,3.519,3.73056539029,Non Sampled Ancestor Model
48,0,3.519,3.95524607197,Non Sampled Ancestor Model
49,0,3.519,3.93373172567,Non Sampled Ancestor Model
50,0,3.519,3.93298859366,Non Sampled Ancestor Model
51,0,3.519,3.96788980768,Non Sampled Ancestor Model
52,0,3.519,3.97015057889,Non Sampled Ancestor Model
53,0,3.519,3.97653011503,Non Sampled Ancestor Model
54,0,3.519,3.94123417567,Non Sampled Ancestor Model
55,0,3.519,3.9317195295,Non Sampled Ancestor Model
56,0,3.519,3.94566529457,Non Sampled Ancestor Model
57,0,3.519,3.94047084746,Non Sampled Ancestor Model
58,0,3.519,3.97756820811,Non Sampled Ancestor Model
59,0,3.519,3.92755539534,Non Sampled Ancestor Model
60,0,3.519,3.9547025615,Non Sampled Ancestor Model
61,0,3.519,3.95218564982,Non Sampled Ancestor Model
62,0,3.519,3.93832328268,Non Sampled Ancestor Model
0,0,8.17,8.55544424776,Non Sampled Ancestor Model
1,0,8.17,8.88243799136,Non Sampled Ancestor Model
2,0,8.17,8.52400822158,Non Sampled Ancestor Model
3,0,8.17,8.65154728714,Non Sampled Ancestor Model
4,0,8.17,8.55405491882,Non Sampled Ancestor Model
5,0,8.17,11.2547110253,Non Sampled Ancestor Model
6,0,8.17,8.54201105356,Non Sampled Ancestor Model
7,0,8.17,8.46608236595,Non Sampled Ancestor Model
8,0,8.17,9.33888450845,Non Sampled Ancestor Model
9,0,8.17,15.2909489224,Non Sampled Ancestor Model
10,0,8.17,23.8042894755,Non Sampled Ancestor Model
11,0,8.17,8.73331691263,Non Sampled Ancestor Model
12,0,8.17,8.69395741703,Non Sampled Ancestor Model
13,0,8.17,8.56900402937,Non Sampled Ancestor Model
14,0,8.17,13.444050481,Non Sampled Ancestor Model
15,0,8.17,8.65824045171,Non Sampled Ancestor Model
16,0,8.17,8.79642173562,Non Sampled Ancestor Model
17,0,8.17,12.3765914507,Non Sampled Ancestor Model
18,0,8.17,8.56629397393,Non Sampled Ancestor Model
19,0,8.17,8.49980364299,Non Sampled Ancestor Model
20,0,8.17,8.92682223001,Non Sampled Ancestor Model
21,0,8.17,8.61577008592,Non Sampled Ancestor Model
22,0,8.17,8.45787270038,Non Sampled Ancestor Model
23,0,8.17,8.62321161078,Non Sampled Ancestor Model
24,0,8.17,8.48819366915,Non Sampled Ancestor Model
25,0,8.17,17.2610767787,Non Sampled Ancestor Model
26,0,8.17,8.85562117989,Non Sampled Ancestor Model
27,0,8.17,8.96342383141,Non Sampled Ancestor Model
28,0,8.17,8.52837006511,Non Sampled Ancestor Model
29,0,8.17,9.00371136503,Non Sampled Ancestor Model
30,0,8.17,9.12794825002,Non Sampled Ancestor Model
31,0,8.17,8.48552603431,Non Sampled Ancestor Model
32,0,8.17,8.61992208478,Non Sampled Ancestor Model
33,0,8.17,8.6013360577,Non Sampled Ancestor Model
34,0,8.17,8.5826387903,Non Sampled Ancestor Model
35,0,8.17,8.56912080348,Non Sampled Ancestor Model
36,0,8.17,17.995057313,Non Sampled Ancestor Model
37,0,8.17,25.2475154143,Non Sampled Ancestor Model
38,0,8.17,8.97145545357,Non Sampled Ancestor Model
39,0,8.17,8.635025213,Non Sampled Ancestor Model
40,0,8.17,8.74291351585,Non Sampled Ancestor Model
41,0,8.17,8.45652246784,Non Sampled Ancestor Model
42,0,8.17,8.65965736624,Non Sampled Ancestor Model
43,0,8.17,14.6586356577,Non Sampled Ancestor Model
44,0,8.17,8.531647311,Non Sampled Ancestor Model
45,0,8.17,8.53789099978,Non Sampled Ancestor Model
46,0,8.17,22.1866213333,Non Sampled Ancestor Model
47,0,8.17,8.68717454681,Non Sampled Ancestor Model
48,0,8.17,12.1840445393,Non Sampled Ancestor Model
49,0,8.17,11.3479446559,Non Sampled Ancestor Model
0,0,4.86,4.52668107994,Non Sampled Ancestor Model
1,0,4.86,4.432561933,Non Sampled Ancestor Model
2,0,4.86,4.57240156316,Non Sampled Ancestor Model
3,0,4.86,4.5170482146,Non Sampled Ancestor Model
4,0,4.86,4.55024346437,Non Sampled Ancestor Model
5,0,4.86,4.51968983618,Non Sampled Ancestor Model
6,0,4.86,4.50506393627,Non Sampled Ancestor Model
7,0,4.86,4.45543415493,Non Sampled Ancestor Model
8,0,4.86,5.44736537706,Non Sampled Ancestor Model
9,0,4.86,4.55922170438,Non Sampled Ancestor Model
10,0,4.86,4.54132198023,Non Sampled Ancestor Model
11,0,4.86,5.08797691155,Non Sampled Ancestor Model
12,0,4.86,5.62569114403,Non Sampled Ancestor Model
13,0,4.86,4.49495718305,Non Sampled Ancestor Model
14,0,4.86,4.55129498742,Non Sampled Ancestor Model
15,0,4.86,4.53244482209,Non Sampled Ancestor Model
16,0,4.86,4.55257531178,Non Sampled Ancestor Model
17,0,4.86,4.52692478427,Non Sampled Ancestor Model
18,0,4.86,4.60909846944,Non Sampled Ancestor Model
19,0,4.86,4.53423834829,Non Sampled Ancestor Model
20,0,4.86,4.61184960635,Non Sampled Ancestor Model
21,0,4.86,4.47253064506,Non Sampled Ancestor Model
22,0,4.86,5.66682940307,Non Sampled Ancestor Model
23,0,4.86,4.93917152993,Non Sampled Ancestor Model
24,0,4.86,4.63326150802,Non Sampled Ancestor Model
25,0,4.86,4.520379189,Non Sampled Ancestor Model
26,0,4.86,5.09010047748,Non Sampled Ancestor Model
27,0,4.86,4.51390757572,Non Sampled Ancestor Model
28,0,4.86,4.54511349045,Non Sampled Ancestor Model
29,0,4.86,5.2844653538,Non Sampled Ancestor Model
30,0,4.86,4.50058765897,Non Sampled Ancestor Model
31,0,4.86,4.48586800039,Non Sampled Ancestor Model
32,0,4.86,4.61153396779,Non Sampled Ancestor Model
33,0,4.86,4.528603486,Non Sampled Ancestor Model
34,0,4.86,5.11959693203,Non Sampled Ancestor Model
35,0,4.86,5.08319054102,Non Sampled Ancestor Model
36,0,4.86,4.63146789072,Non Sampled Ancestor Model
37,0,4.86,4.91729172045,Non Sampled Ancestor Model
38,0,4.86,4.61745777696,Non Sampled Ancestor Model
39,0,4.86,4.48311198035,Non Sampled Ancestor Model
40,0,4.86,4.53511530568,Non Sampled Ancestor Model
41,0,4.86,4.47113282304,Non Sampled Ancestor Model
42,0,4.86,4.5430531534,Non Sampled Ancestor Model
43,0,4.86,4.42845875972,Non Sampled Ancestor Model
44,0,4.86,4.54951137343,Non Sampled Ancestor Model
45,0,4.86,4.47868425704,Non Sampled Ancestor Model
46,0,4.86,4.58525760712,Non Sampled Ancestor Model
0,0,8.16,9.36342774083,Non Sampled Ancestor Model
1,0,8.16,9.10217633781,Non Sampled Ancestor Model
2,0,8.16,9.75892069894,Non Sampled Ancestor Model
3,0,8.16,11.5856142275,Non Sampled Ancestor Model
4,0,8.16,10.0407644871,Non Sampled Ancestor Model
5,0,8.16,8.98727187885,Non Sampled Ancestor Model
6,0,8.16,9.01033544767,Non Sampled Ancestor Model
7,0,8.16,8.84125486106,Non Sampled Ancestor Model
8,0,8.16,10.0534077989,Non Sampled Ancestor Model
9,0,8.16,10.8686416765,Non Sampled Ancestor Model
10,0,8.16,8.85005275179,Non Sampled Ancestor Model
11,0,8.16,9.11177873786,Non Sampled Ancestor Model
12,0,8.16,10.2474157349,Non Sampled Ancestor Model
13,0,8.16,8.89427146636,Non Sampled Ancestor Model
14,0,8.16,10.1454512921,Non Sampled Ancestor Model
15,0,8.16,10.1721528166,Non Sampled Ancestor Model
16,0,8.16,9.91474601521,Non Sampled Ancestor Model
17,0,8.16,8.90863283071,Non Sampled Ancestor Model
18,0,8.16,9.7994059641,Non Sampled Ancestor Model
19,0,8.16,8.84335367213,Non Sampled Ancestor Model
20,0,8.16,11.0183716197,Non Sampled Ancestor Model
21,0,8.16,8.94850637566,Non Sampled Ancestor Model
22,0,8.16,8.85245848957,Non Sampled Ancestor Model
23,0,8.16,9.65460015909,Non Sampled Ancestor Model
24,0,8.16,11.1076461321,Non Sampled Ancestor Model
25,0,8.16,9.25020925431,Non Sampled Ancestor Model
26,0,8.16,10.5726011847,Non Sampled Ancestor Model
27,0,8.16,9.61591872007,Non Sampled Ancestor Model
28,0,8.16,11.9686247755,Non Sampled Ancestor Model
29,0,8.16,10.9612214884,Non Sampled Ancestor Model
30,0,8.16,10.2901845258,Non Sampled Ancestor Model
31,0,8.16,10.4792939576,Non Sampled Ancestor Model
32,0,8.16,9.5332410212,Non Sampled Ancestor Model
33,0,8.16,8.9167815205,Non Sampled Ancestor Model
34,0,8.16,9.21095430031,Non Sampled Ancestor Model
35,0,8.16,8.97328482654,Non Sampled Ancestor Model
36,0,8.16,11.6099284858,Non Sampled Ancestor Model
37,0,8.16,8.973378341,Non Sampled Ancestor Model
38,0,8.16,10.0560956744,Non Sampled Ancestor Model
39,0,8.16,10.3384789541,Non Sampled Ancestor Model
40,0,8.16,11.587580821,Non Sampled Ancestor Model
41,0,8.16,10.3224629961,Non Sampled Ancestor Model
42,0,8.16,9.95203797398,Non Sampled Ancestor Model
43,0,8.16,8.95116634241,Non Sampled Ancestor Model
44,0,8.16,9.02102045315,Non Sampled Ancestor Model
45,0,8.16,8.96112961618,Non Sampled Ancestor Model
46,0,8.16,8.87861372072,Non Sampled Ancestor Model
47,0,8.16,9.13580690439,Non Sampled Ancestor Model
48,0,8.16,8.92157592419,Non Sampled Ancestor Model
49,0,8.16,9.31308869065,Non Sampled Ancestor Model
0,0,8.61,25.7482424274,Non Sampled Ancestor Model
1,0,8.61,21.2671521447,Non Sampled Ancestor Model
2,0,8.61,13.2546586458,Non Sampled Ancestor Model
3,0,8.61,9.86989342238,Non Sampled Ancestor Model
4,0,8.61,10.0706440437,Non Sampled Ancestor Model
5,0,8.61,9.25754697031,Non Sampled Ancestor Model
6,0,8.61,10.0170152827,Non Sampled Ancestor Model
7,0,8.61,9.52807647267,Non Sampled Ancestor Model
8,0,8.61,9.80811698594,Non Sampled Ancestor Model
9,0,8.61,28.756776987,Non Sampled Ancestor Model
10,0,8.61,9.21234732316,Non Sampled Ancestor Model
11,0,8.61,25.8949001352,Non Sampled Ancestor Model
12,0,8.61,9.58321237661,Non Sampled Ancestor Model
13,0,8.61,17.1964323001,Non Sampled Ancestor Model
14,0,8.61,9.91518474001,Non Sampled Ancestor Model
15,0,8.61,23.2042372135,Non Sampled Ancestor Model
16,0,8.61,32.9624476401,Non Sampled Ancestor Model
17,0,8.61,9.87014080136,Non Sampled Ancestor Model
18,0,8.61,9.52180316686,Non Sampled Ancestor Model
19,0,8.61,19.9038364993,Non Sampled Ancestor Model
20,0,8.61,16.4473865228,Non Sampled Ancestor Model
21,0,8.61,9.73012473881,Non Sampled Ancestor Model
22,0,8.61,9.78547786291,Non Sampled Ancestor Model
23,0,8.61,9.34948080071,Non Sampled Ancestor Model
24,0,8.61,9.21129783212,Non Sampled Ancestor Model
25,0,8.61,9.32679775512,Non Sampled Ancestor Model
26,0,8.61,29.9078313345,Non Sampled Ancestor Model
27,0,8.61,9.62616684917,Non Sampled Ancestor Model
28,0,8.61,27.640737284,Non Sampled Ancestor Model
29,0,8.61,30.0229779697,Non Sampled Ancestor Model
30,0,8.61,9.53117095063,Non Sampled Ancestor Model
31,0,8.61,9.3981205896,Non Sampled Ancestor Model
32,0,8.61,9.08140403853,Non Sampled Ancestor Model
33,0,8.61,9.99415364089,Non Sampled Ancestor Model
34,0,8.61,9.64177675231,Non Sampled Ancestor Model
35,0,8.61,9.39327414088,Non Sampled Ancestor Model
36,0,8.61,9.17567474888,Non Sampled Ancestor Model
37,0,8.61,9.33577530829,Non Sampled Ancestor Model
38,0,8.61,26.0768058105,Non Sampled Ancestor Model
39,0,8.61,9.20882365279,Non Sampled Ancestor Model
40,0,8.61,9.6975693099,Non Sampled Ancestor Model
41,0,8.61,22.5365885132,Non Sampled Ancestor Model
42,0,8.61,10.0280882398,Non Sampled Ancestor Model
43,0,8.61,9.20275169851,Non Sampled Ancestor Model
44,0,8.61,9.57566714705,Non Sampled Ancestor Model
45,0,8.61,12.8922736033,Non Sampled Ancestor Model
46,0,8.61,9.4764060651,Non Sampled Ancestor Model
47,0,8.61,9.39330332127,Non Sampled Ancestor Model
48,0,8.61,9.35050169334,Non Sampled Ancestor Model
49,0,8.61,9.5748708131,Non Sampled Ancestor Model
0,0,6.18,7.22320755026,Non Sampled Ancestor Model
1,0,6.18,10.2071191152,Non Sampled Ancestor Model
2,0,6.18,7.23928589263,Non Sampled Ancestor Model
3,0,6.18,7.83028819548,Non Sampled Ancestor Model
4,0,6.18,7.35847295259,Non Sampled Ancestor Model
5,0,6.18,7.13072239088,Non Sampled Ancestor Model
6,0,6.18,7.56107486106,Non Sampled Ancestor Model
7,0,6.18,7.13021107418,Non Sampled Ancestor Model
8,0,6.18,7.15359501038,Non Sampled Ancestor Model
9,0,6.18,7.32748386982,Non Sampled Ancestor Model
10,0,6.18,7.01584074218,Non Sampled Ancestor Model
11,0,6.18,7.43690326704,Non Sampled Ancestor Model
12,0,6.18,7.35262427315,Non Sampled Ancestor Model
13,0,6.18,7.17052613079,Non Sampled Ancestor Model
14,0,6.18,8.21725789676,Non Sampled Ancestor Model
15,0,6.18,7.65169536994,Non Sampled Ancestor Model
16,0,6.18,7.16730103455,Non Sampled Ancestor Model
17,0,6.18,7.62527831479,Non Sampled Ancestor Model
18,0,6.18,7.2059465043,Non Sampled Ancestor Model
19,0,6.18,7.09117583598,Non Sampled Ancestor Model
20,0,6.18,7.25000258788,Non Sampled Ancestor Model
21,0,6.18,7.27378693663,Non Sampled Ancestor Model
22,0,6.18,7.65222572462,Non Sampled Ancestor Model
23,0,6.18,7.64437353922,Non Sampled Ancestor Model
24,0,6.18,7.14617840278,Non Sampled Ancestor Model
25,0,6.18,7.37556384751,Non Sampled Ancestor Model
26,0,6.18,7.66001473288,Non Sampled Ancestor Model
27,0,6.18,7.91525948504,Non Sampled Ancestor Model
28,0,6.18,7.10243458567,Non Sampled Ancestor Model
29,0,6.18,7.43986816549,Non Sampled Ancestor Model
30,0,6.18,7.25654165767,Non Sampled Ancestor Model
31,0,6.18,8.15898112221,Non Sampled Ancestor Model
32,0,6.18,6.99464066972,Non Sampled Ancestor Model
33,0,6.18,7.35876172329,Non Sampled Ancestor Model
34,0,6.18,8.14685693104,Non Sampled Ancestor Model
35,0,6.18,7.19159671393,Non Sampled Ancestor Model
36,0,6.18,7.03903450268,Non Sampled Ancestor Model
37,0,6.18,7.23487044069,Non Sampled Ancestor Model
38,0,6.18,7.83109096395,Non Sampled Ancestor Model
39,0,6.18,8.40433511239,Non Sampled Ancestor Model
40,0,6.18,7.53274555246,Non Sampled Ancestor Model
41,0,6.18,7.7675142337,Non Sampled Ancestor Model
42,0,6.18,7.41990176674,Non Sampled Ancestor Model
43,0,6.18,7.1707539225,Non Sampled Ancestor Model
44,0,6.18,7.63356418327,Non Sampled Ancestor Model
45,0,6.18,7.06623042504,Non Sampled Ancestor Model
46,0,6.18,7.16182091634,Non Sampled Ancestor Model
0,0,26.34,26.6356884816,Non Sampled Ancestor Model
1,0,26.34,26.5040178268,Non Sampled Ancestor Model
2,0,26.34,26.5508421089,Non Sampled Ancestor Model
3,0,26.34,26.4658557594,Non Sampled Ancestor Model
4,0,26.34,26.4574871657,Non Sampled Ancestor Model
5,0,26.34,26.5015435144,Non Sampled Ancestor Model
6,0,26.34,26.4949548619,Non Sampled Ancestor Model
7,0,26.34,26.5072374299,Non Sampled Ancestor Model
8,0,26.34,26.539720856,Non Sampled Ancestor Model
9,0,26.34,26.5425729668,Non Sampled Ancestor Model
