,Ind,Tru,No Sampled Ancestors Turnover,ident
0,0,4.37,5.88322325687,Non Sampled Ancestor Model
1,0,4.37,6.27688037466,Non Sampled Ancestor Model
2,0,4.37,6.1455770668,Non Sampled Ancestor Model
3,0,4.37,5.65156077392,Non Sampled Ancestor Model
4,0,4.37,5.34459111838,Non Sampled Ancestor Model
5,0,4.37,5.21983919271,Non Sampled Ancestor Model
6,0,4.37,5.2481701616,Non Sampled Ancestor Model
7,0,4.37,6.49190102587,Non Sampled Ancestor Model
8,0,4.37,6.02573914729,Non Sampled Ancestor Model
9,0,4.37,5.51030775801,Non Sampled Ancestor Model
10,0,4.37,5.27036585743,Non Sampled Ancestor Model
11,0,4.37,5.1507499875,Non Sampled Ancestor Model
12,0,4.37,5.33117071787,Non Sampled Ancestor Model
13,0,4.37,5.66816030304,Non Sampled Ancestor Model
14,0,4.37,5.53404225132,Non Sampled Ancestor Model
15,0,4.37,5.32615954502,Non Sampled Ancestor Model
16,0,4.37,5.55728415163,Non Sampled Ancestor Model
17,0,4.37,5.36188230586,Non Sampled Ancestor Model
18,0,4.37,6.36566467604,Non Sampled Ancestor Model
19,0,4.37,5.25516032745,Non Sampled Ancestor Model
20,0,4.37,5.59883776011,Non Sampled Ancestor Model
21,0,4.37,5.25718896894,Non Sampled Ancestor Model
22,0,4.37,5.36082606503,Non Sampled Ancestor Model
23,0,4.37,6.24669013149,Non Sampled Ancestor Model
24,0,4.37,5.73255741824,Non Sampled Ancestor Model
25,0,4.37,5.49571818187,Non Sampled Ancestor Model
26,0,4.37,5.73201392166,Non Sampled Ancestor Model
27,0,4.37,5.93808082019,Non Sampled Ancestor Model
28,0,4.37,5.42158003211,Non Sampled Ancestor Model
29,0,4.37,5.61458950291,Non Sampled Ancestor Model
30,0,4.37,5.36472192458,Non Sampled Ancestor Model
31,0,4.37,6.42459875963,Non Sampled Ancestor Model
32,0,4.37,5.1369650087,Non Sampled Ancestor Model
33,0,4.37,5.57799030304,Non Sampled Ancestor Model
34,0,4.37,5.75335268246,Non Sampled Ancestor Model
35,0,4.37,5.51865370217,Non Sampled Ancestor Model
36,0,4.37,6.14382924519,Non Sampled Ancestor Model
37,0,4.37,5.22010648737,Non Sampled Ancestor Model
38,0,4.37,5.1763574426,Non Sampled Ancestor Model
39,0,4.37,5.65616674879,Non Sampled Ancestor Model
40,0,4.37,5.32579808857,Non Sampled Ancestor Model
41,0,4.37,5.584297785,Non Sampled Ancestor Model
42,0,4.37,5.67126829326,Non Sampled Ancestor Model
43,0,4.37,5.89319119288,Non Sampled Ancestor Model
44,0,4.37,5.75873594057,Non Sampled Ancestor Model
45,0,4.37,6.28222507028,Non Sampled Ancestor Model
46,0,4.37,6.68361712406,Non Sampled Ancestor Model
47,0,4.37,5.87381339682,Non Sampled Ancestor Model
48,0,4.37,5.50705628073,Non Sampled Ancestor Model
49,0,4.37,6.18154367645,Non Sampled Ancestor Model
0,0,7.43,8.81241547986,Non Sampled Ancestor Model
1,0,7.43,8.83793352219,Non Sampled Ancestor Model
2,0,7.43,9.46153682442,Non Sampled Ancestor Model
3,0,7.43,9.16963063169,Non Sampled Ancestor Model
4,0,7.43,9.55069744779,Non Sampled Ancestor Model
5,0,7.43,9.97695959093,Non Sampled Ancestor Model
6,0,7.43,8.45495962386,Non Sampled Ancestor Model
7,0,7.43,9.83442417193,Non Sampled Ancestor Model
8,0,7.43,9.9359484887,Non Sampled Ancestor Model
9,0,7.43,10.0812593463,Non Sampled Ancestor Model
10,0,7.43,9.36897556325,Non Sampled Ancestor Model
11,0,7.43,8.58262848711,Non Sampled Ancestor Model
12,0,7.43,9.15571424394,Non Sampled Ancestor Model
13,0,7.43,9.60080632666,Non Sampled Ancestor Model
14,0,7.43,9.97762253689,Non Sampled Ancestor Model
15,0,7.43,8.98276231381,Non Sampled Ancestor Model
16,0,7.43,8.32078926598,Non Sampled Ancestor Model
17,0,7.43,10.0743702632,Non Sampled Ancestor Model
18,0,7.43,9.84573163974,Non Sampled Ancestor Model
19,0,7.43,9.92159694213,Non Sampled Ancestor Model
20,0,7.43,8.89950217596,Non Sampled Ancestor Model
21,0,7.43,11.1004186882,Non Sampled Ancestor Model
22,0,7.43,10.1363084281,Non Sampled Ancestor Model
23,0,7.43,9.0012509799,Non Sampled Ancestor Model
24,0,7.43,9.83642216732,Non Sampled Ancestor Model
25,0,7.43,8.80032926331,Non Sampled Ancestor Model
26,0,7.43,8.81474505275,Non Sampled Ancestor Model
27,0,7.43,9.20881297307,Non Sampled Ancestor Model
28,0,7.43,8.82129990288,Non Sampled Ancestor Model
29,0,7.43,8.83433988032,Non Sampled Ancestor Model
30,0,7.43,9.03756307845,Non Sampled Ancestor Model
31,0,7.43,8.36847713936,Non Sampled Ancestor Model
32,0,7.43,8.939523559,Non Sampled Ancestor Model
33,0,7.43,9.93542979111,Non Sampled Ancestor Model
34,0,7.43,8.73805473371,Non Sampled Ancestor Model
35,0,7.43,9.31989868364,Non Sampled Ancestor Model
36,0,7.43,8.89775284497,Non Sampled Ancestor Model
37,0,7.43,8.88285054318,Non Sampled Ancestor Model
38,0,7.43,8.93210415335,Non Sampled Ancestor Model
39,0,7.43,8.64846427342,Non Sampled Ancestor Model
40,0,7.43,10.3497311385,Non Sampled Ancestor Model
41,0,7.43,8.97993060202,Non Sampled Ancestor Model
42,0,7.43,8.84973628189,Non Sampled Ancestor Model
43,0,7.43,8.90299612772,Non Sampled Ancestor Model
44,0,7.43,9.00450326152,Non Sampled Ancestor Model
45,0,7.43,10.3032175098,Non Sampled Ancestor Model
46,0,7.43,8.83156278457,Non Sampled Ancestor Model
47,0,7.43,8.94429248392,Non Sampled Ancestor Model
48,0,7.43,9.81970167143,Non Sampled Ancestor Model
49,0,7.43,9.04994787334,Non Sampled Ancestor Model
0,0,16.795,19.0637294035,Non Sampled Ancestor Model
1,0,16.795,20.4746692804,Non Sampled Ancestor Model
2,0,16.795,19.2641304428,Non Sampled Ancestor Model
3,0,16.795,18.5774156572,Non Sampled Ancestor Model
4,0,16.795,19.2572227972,Non Sampled Ancestor Model
5,0,16.795,21.4922930839,Non Sampled Ancestor Model
6,0,16.795,17.8798912007,Non Sampled Ancestor Model
7,0,16.795,19.7004333963,Non Sampled Ancestor Model
8,0,16.795,18.7195832278,Non Sampled Ancestor Model
9,0,16.795,21.1221609137,Non Sampled Ancestor Model
10,0,16.795,19.2769339597,Non Sampled Ancestor Model
11,0,16.795,23.9721175689,Non Sampled Ancestor Model
12,0,16.795,20.6910315486,Non Sampled Ancestor Model
13,0,16.795,19.7318042876,Non Sampled Ancestor Model
14,0,16.795,21.0008906953,Non Sampled Ancestor Model
15,0,16.795,17.9045202601,Non Sampled Ancestor Model
16,0,16.795,20.6167393662,Non Sampled Ancestor Model
17,0,16.795,20.0164328164,Non Sampled Ancestor Model
18,0,16.795,19.7299035649,Non Sampled Ancestor Model
19,0,16.795,22.2768914361,Non Sampled Ancestor Model
20,0,16.795,25.3968274608,Non Sampled Ancestor Model
21,0,16.795,20.1356256977,Non Sampled Ancestor Model
22,0,16.795,29.0311104681,Non Sampled Ancestor Model
23,0,16.795,30.4132799963,Non Sampled Ancestor Model
24,0,16.795,20.6658174638,Non Sampled Ancestor Model
25,0,16.795,21.2597865111,Non Sampled Ancestor Model
26,0,16.795,19.9509623832,Non Sampled Ancestor Model
27,0,16.795,20.2461037717,Non Sampled Ancestor Model
28,0,16.795,19.222333556,Non Sampled Ancestor Model
29,0,16.795,18.5963506555,Non Sampled Ancestor Model
30,0,16.795,22.2021916586,Non Sampled Ancestor Model
31,0,16.795,21.8230052572,Non Sampled Ancestor Model
32,0,16.795,21.2825127507,Non Sampled Ancestor Model
33,0,16.795,20.3474477706,Non Sampled Ancestor Model
34,0,16.795,26.1055452574,Non Sampled Ancestor Model
35,0,16.795,21.2348241055,Non Sampled Ancestor Model
36,0,16.795,20.2968284345,Non Sampled Ancestor Model
37,0,16.795,21.3767685623,Non Sampled Ancestor Model
38,0,16.795,19.3025010783,Non Sampled Ancestor Model
39,0,16.795,16.9233252767,Non Sampled Ancestor Model
40,0,16.795,42.0289449122,Non Sampled Ancestor Model
41,0,16.795,21.7468784487,Non Sampled Ancestor Model
42,0,16.795,32.017807922,Non Sampled Ancestor Model
43,0,16.795,33.6125312449,Non Sampled Ancestor Model
44,0,16.795,18.7563175027,Non Sampled Ancestor Model
45,0,16.795,20.1129574464,Non Sampled Ancestor Model
46,0,16.795,22.8031970119,Non Sampled Ancestor Model
47,0,16.795,21.7566370217,Non Sampled Ancestor Model
