Tru,Turnover,ident
0.1,0.171739268,Sampled Ancestor Model
0.1,0.170319054,Sampled Ancestor Model
0.1,0.166552688,Sampled Ancestor Model
0.1,0.166953318,Sampled Ancestor Model
0.1,0.167592338,Sampled Ancestor Model
0.1,0.171307224,Sampled Ancestor Model
0.1,0.166452903,Sampled Ancestor Model
0.1,0.165529594,Sampled Ancestor Model
0.1,0.170226393,Sampled Ancestor Model
0.1,0.171369523,Sampled Ancestor Model
0.1,0.164302849,Sampled Ancestor Model
0.1,0.171294967,Sampled Ancestor Model
0.1,0.170444612,Sampled Ancestor Model
0.1,0.171121073,Sampled Ancestor Model
0.1,0.169664279,Sampled Ancestor Model
0.1,0.168386299,Sampled Ancestor Model
0.1,0.166493061,Sampled Ancestor Model
0.1,0.172240532,Sampled Ancestor Model
0.1,0.172523906,Sampled Ancestor Model
0.1,0.170388959,Sampled Ancestor Model
0.1,0.172160755,Sampled Ancestor Model
0.1,0.168727661,Sampled Ancestor Model
0.1,0.168993966,Sampled Ancestor Model
0.1,0.170093696,Sampled Ancestor Model
0.1,0.170909482,Sampled Ancestor Model
0.1,0.169175322,Sampled Ancestor Model
0.1,0.168852743,Sampled Ancestor Model
0.1,0.169715051,Sampled Ancestor Model
0.1,0.167060143,Sampled Ancestor Model
0.1,0.269870463,Sampled Ancestor Model
0.1,0.172830426,Sampled Ancestor Model
0.1,0.168059734,Sampled Ancestor Model
0.1,0.16938474,Sampled Ancestor Model
0.1,0.166299245,Sampled Ancestor Model
0.1,0.167387045,Sampled Ancestor Model
0.1,0.171477626,Sampled Ancestor Model
0.1,0.168074219,Sampled Ancestor Model
0.1,0.170314033,Sampled Ancestor Model
0.1,0.168578551,Sampled Ancestor Model
0.1,0.168598126,Sampled Ancestor Model
0.1,0.172635612,Sampled Ancestor Model
0.1,0.169373506,Sampled Ancestor Model
0.1,0.16611827,Sampled Ancestor Model
0.1,0.168098406,Sampled Ancestor Model
0.1,0.168617654,Sampled Ancestor Model
0.1,0.16998121,Sampled Ancestor Model
0.1,0.209243498,Sampled Ancestor Model
0.1,0.215244826,Sampled Ancestor Model
0.1,0.206418622,Sampled Ancestor Model
0.1,0.214145043,Sampled Ancestor Model
0.1,0.206154332,Sampled Ancestor Model
0.1,0.216741388,Sampled Ancestor Model
0.1,0.207095637,Sampled Ancestor Model
0.1,0.211142189,Sampled Ancestor Model
0.1,0.218442115,Sampled Ancestor Model
0.1,0.216767273,Sampled Ancestor Model
0.1,0.209912793,Sampled Ancestor Model
0.1,0.2126831,Sampled Ancestor Model
