,Ind,Tru,Sampled Ancestors Turnover,ident
0,0,4.74,5.47838058148,Sampled Ancestor Model
1,0,4.74,5.70140699406,Sampled Ancestor Model
2,0,4.74,5.68955440195,Sampled Ancestor Model
3,0,4.74,5.37393396036,Sampled Ancestor Model
4,0,4.74,5.37370810039,Sampled Ancestor Model
5,0,4.74,5.81573752327,Sampled Ancestor Model
6,0,4.74,5.57632393634,Sampled Ancestor Model
7,0,4.74,5.62869413105,Sampled Ancestor Model
8,0,4.74,5.51286281532,Sampled Ancestor Model
9,0,4.74,5.61247095069,Sampled Ancestor Model
10,0,4.74,5.42152441756,Sampled Ancestor Model
11,0,4.74,5.3826245245,Sampled Ancestor Model
12,0,4.74,5.25141176452,Sampled Ancestor Model
13,0,4.74,5.1703032954,Sampled Ancestor Model
14,0,4.74,5.30192258875,Sampled Ancestor Model
15,0,4.74,5.35633934459,Sampled Ancestor Model
16,0,4.74,5.19051219047,Sampled Ancestor Model
17,0,4.74,5.44438815709,Sampled Ancestor Model
18,0,4.74,5.59070816451,Sampled Ancestor Model
19,0,4.74,5.23657019182,Sampled Ancestor Model
20,0,4.74,5.20155776464,Sampled Ancestor Model
21,0,4.74,5.7445051338,Sampled Ancestor Model
22,0,4.74,5.15557767226,Sampled Ancestor Model
23,0,4.74,5.28609505942,Sampled Ancestor Model
24,0,4.74,5.36334001238,Sampled Ancestor Model
25,0,4.74,5.09152270425,Sampled Ancestor Model
26,0,4.74,5.23642681433,Sampled Ancestor Model
27,0,4.74,5.52891639619,Sampled Ancestor Model
28,0,4.74,5.69040635907,Sampled Ancestor Model
29,0,4.74,5.39624443437,Sampled Ancestor Model
30,0,4.74,5.04100903754,Sampled Ancestor Model
31,0,4.74,5.21018689133,Sampled Ancestor Model
32,0,4.74,5.36080701489,Sampled Ancestor Model
33,0,4.74,5.27243304578,Sampled Ancestor Model
34,0,4.74,5.62947881178,Sampled Ancestor Model
35,0,4.74,5.31975847757,Sampled Ancestor Model
36,0,4.74,5.34083671656,Sampled Ancestor Model
37,0,4.74,5.29932554265,Sampled Ancestor Model
38,0,4.74,5.2985525674,Sampled Ancestor Model
39,0,4.74,5.87475623674,Sampled Ancestor Model
40,0,4.74,5.04819698242,Sampled Ancestor Model
41,0,4.74,5.16806193623,Sampled Ancestor Model
42,0,4.74,5.25921277068,Sampled Ancestor Model
43,0,4.74,5.15859078348,Sampled Ancestor Model
44,0,4.74,5.77931294292,Sampled Ancestor Model
45,0,4.74,5.38003618659,Sampled Ancestor Model
46,0,4.74,5.35543768811,Sampled Ancestor Model
